TTFB,TTI,FREQ
1600,7303,82352
1602,7259,82261
1604,7294,82199
1607,7232,82151
1601,7243,81938
1608,7246,81904
1603,7256,81894
1597,7230,81823
1610,7282,81793
1629,7092,81706
1605,7251,81617
1609,7249,81160
1606,7256,81137
1617,7278,81055
1611,7254,80994
1618,7253,80963
1616,7265,80843
1612,7279,80718
1614,7263.5,80666
1615,7244,80650
1613,7243,80346
1620,7259,80276
1624,7330,80184
1623,7253,79979
1619,7280,79978
1621,7288,79923
1622,7265,79874
1625,7268,79843
1628,7293,79602
1634,7298,79405
1626,7307,79372
1631,7276,79345
1630,7287,79179
1627,7307,79134
1632,7295,79117
1633,7302,79040
1635,7285,78759
1636,7302,78510
1641,7311,78419
1638,7329,78248
1643,7318,78111
1642,7305,78111
1644,7313,78103
1648,7334,78043
1640,7339,77954
1637,7301,77935
1649,7312,77837
1639,7268,77741
