DOM_SIZE,TTI,FREQ
1896,5711.5,117002
607,4956,116910
751,4938,116865
1927,5799.5,116860
1814,6266,116774
603,4836,116765
604,4929,116639
1917,5663,116530
678,4925,116528
1759,5998,116492
2960,4006,116486
1950,5917,116437
1678,6094,116431
1828,6168,116365
1881,5430,116182
1836,6161,116063
1804,6157,116058
571,4943,116004
554,5096,115857
551,4974,115835
1897,5521,115812
555,4701,115769
1787,5986,115743
734,5481,115693
1885,5478,115684
1937,5826,115606
73,2217,115606
2265,5821,115590
1803,6109,115509
1839,6032,115426
121,2037,115408
1701,5959,115342
1757,5949,115303
1807,6166,115170
1750,5919,115124
701,4777,115124
