DEVICETYPENAME,JS_SIZE,TTI,FREQ
Desktop,3490000,6236.000,599
Desktop,3060000,7481.000,594
Desktop,3980000,9464.000,593
Tablet,1230000,16990.000,591
Desktop,2970000,8072.000,577
Tablet,1190000,16201.000,573
Tablet,1920000,15391.000,570
Mobile,2570000,21415.000,570
Mobile,2700000,16901.500,566
Tablet,1560000,10777.000,561
Tablet,1980000,18795.000,557
Desktop,3530000,5861.500,548
Desktop,4070000,6820.000,543
Desktop,8310000,6878.000,541
Desktop,3030000,7628.000,533
Desktop,4080000,5279.500,532
Desktop,2950000,7352.000,529
Desktop,3410000,3988.000,527
Mobile,2460000,14817.500,520
Desktop,8350000,6171.000,515
Mobile,2710000,19077.000,514
Mobile,2540000,17314.500,514
Desktop,3190000,7769.000,511
Desktop,4200000,8301.000,502
Mobile,2200000,11136.000,497
Desktop,4650000,7307.000,495
Desktop,2940000,7086.000,486
Desktop,4610000,6475.000,483
Desktop,6010000,8330.000,481
Desktop,3840000,6478.500,480
Desktop,4220000,8616.000,479
Desktop,3800000,11150.000,477
Mobile,2730000,19043.000,476
Desktop,3640000,6091.000,473
Desktop,3100000,7171.500,472
Tablet,1900000,13639.000,468
Tablet,1520000,18269.000,468
Desktop,8070000,6942.500,466
Desktop,4390000,8661.000,466
Desktop,3510000,5731.000,459
Tablet,1400000,16459.000,444
Desktop,4130000,8624.000,442
Desktop,4100000,8944.000,439
Mobile,1710000,24514.000,439
Desktop,4290000,7655.500,434
Tablet,1350000,17578.000,431
Desktop,5770000,6161.500,430
Desktop,5920000,6271.000,422
Desktop,5970000,8094.500,422
Tablet,1830000,11186.000,417
Desktop,5730000,5164.000,417
Mobile,2240000,13134.500,416
Desktop,8320000,6092.000,415
Desktop,3630000,5996.000,412
Desktop,4380000,8255.000,411
Desktop,3200000,8708.000,411
Desktop,3540000,5765.500,408
Tablet,1990000,19843.500,402
Desktop,3500000,6126.000,400
Mobile,2270000,11798.000,395
Desktop,3550000,5955.000,393
Desktop,3240000,6230.000,391
Desktop,4490000,8333.500,388
Mobile,2280000,12987.500,388
Desktop,3210000,6918.000,388
